Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031
"534266057535","32100US534266057535","Redmond city; Seattle-Tacoma-Bellevue","Redmond city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009214",,,,,"53",,,"57535",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,63197,63197,35341,1199,178,22347,158,995,2979,63197,58574,32273,1120,149,22303,158,116,2455,4623,3068,79,29,44,0,879,524,63197,58574,32273,1120,149,22303,158,116,2455,4623,63197,58574,4623,2635,199,66,80,639,56,0,54,59,266,204,0,840,163,39,48,451,39,0,85,0,15,0,164,164,0,0,0
"534266057745","32100US534266057745","Renton city; Seattle-Tacoma-Bellevue","Renton city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009215",,,,,"53",,,"57745",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,101054,101054,49402,10165,475,23654,1942,7815,7601,101054,87010,45075,9789,425,23552,1875,299,5995,14044,4327,376,50,102,67,7516,1606,101054,87010,45075,9789,425,23552,1875,299,5995,14044,101054,87010,14044,9935,726,217,63,1704,79,820,325,250,11,219,0,648,19,31,30,182,138,0,234,0,14,0,751,268,57,0,426
"534266063000","32100US534266063000","Seattle city; Seattle-Tacoma-Bellevue","Seattle city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009216",,,,,"53",,,"63000",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,708823,708823,481914,49513,4103,106694,2089,16465,48045,708823,662175,457374,48553,3661,105887,2000,1969,42731,46648,24540,960,442,807,89,14496,5314,708823,662175,457374,48553,3661,105887,2000,1969,42731,46648,708823,662175,46648,26963,2890,1686,82,5674,398,1182,586,558,289,2654,7,4460,424,152,918,1086,525,39,862,24,411,19,4893,2366,1159,18,1350
"534266070000","32100US534266070000","Tacoma city; Seattle-Tacoma-Bellevue","Tacoma city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","wa","321","00","ACSSF","0009217",,,,,"53",,,"70000",,,,,,,,,,,"42660",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,210103,210103,136258,20909,3371,19275,2560,8462,19268,210103,185065,123310,20411,2964,19093,2428,577,16282,25038,12948,498,407,182,132,7885,2986,210103,185065,123310,20411,2964,19093,2428,577,16282,25038,210103,185065,25038,18217,1909,204,285,2519,114,845,269,0,292,991,8,551,92,23,26,136,97,0,162,0,15,0,1353,444,497,13,399
"044606077000","32100US044606077000","Tucson city; Tucson","Tucson city; Tucson, AZ Metro Area; Arizona","az","321","00","ACSSF","0007814",,,,,"04",,,"77000",,,,,,,,,,,"46060",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,539216,539216,390567,27689,18714,17392,1042,56053,27759,539216,306007,239847,25307,9818,16723,872,676,12764,233209,150720,2382,8896,669,170,55377,14995,539216,306007,239847,25307,9818,16723,872,676,12764,233209,539216,306007,233209,212276,4051,1300,529,3756,151,1410,468,379,289,1059,0,2000,105,213,217,496,168,4,469,33,231,64,9297,2209,2160,18,4910
"064174066000","32100US064174066000","San Diego city; San Diego-Carlsbad","San Diego city; San Diego-Carlsbad, CA Metro Area; California","ca","321","00","ACSSF","0037925",,,,,"06",,,"66000",,,,,,,,,,,"41740",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,1401932,1401932,907765,91291,6181,234667,5676,84071,72281,1401932,980296,601232,86490,3190,230555,5296,3137,50396,421636,306533,4801,2991,4112,380,80934,21885,1401932,980296,601232,86490,3190,230555,5296,3137,50396,421636,1401932,980296,421636,369536,10449,3119,790,12231,516,4649,1415,1175,1074,3363,39,10868,1844,225,1023,2917,1000,74,2553,342,846,44,14643,5859,3992,0,4792
"064194068000","32100US064194068000","San Jose city; San Jose-Sunnyvale-Santa Clara","San Jose city; San Jose-Sunnyvale-Santa Clara, CA Metro Area; California","ca","321","00","ACSSF","0037941",,,,,"06",,,"68000",,,,,,,,,,,"41940",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,1026658,1026658,410938,30722,5631,363037,5181,157570,53579,1026658,698501,267218,29208,1733,360641,4644,2887,32170,328157,143720,1514,3898,2396,537,154683,21409,1026658,698501,267218,29208,1733,360641,4644,2887,32170,328157,1026658,698501,328157,284214,5966,1423,423,18017,358,3627,2648,2891,197,8200,96,7352,1012,360,702,1645,298,46,2525,73,570,121,10762,4135,2039,0,4588
"131206004000","32100US131206004000","Atlanta city; Atlanta-Sandy Springs-Roswell","Atlanta city; Atlanta-Sandy Springs-Roswell, GA Metro Area; Georgia","ga","321","00","ACSSF","0011258",,,,,"13",,,"04000",,,,,,,,,,,"12060",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,479655,479655,193139,248683,1171,19964,142,5019,11537,479655,458804,180462,246821,582,19807,61,1033,10038,20851,12677,1862,589,157,81,3986,1499,479655,458804,180462,246821,582,19807,61,1033,10038,20851,479655,458804,20851,10515,3070,1383,276,1425,131,334,284,200,237,239,0,2814,177,112,240,1098,261,50,474,118,270,14,1368,821,147,0,400
"171698014000","32100US171698014000","Chicago city; Chicago-Naperville-Elgin","Chicago city; Chicago-Naperville-Elgin, IL-IN-WI Metro Area (part); Illinois","il","321","00","ACSSF","0021604",,,,,"17",,,"14000",,,,,,,,,,,"16980",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,2718555,2718555,1344088,818875,8158,175109,741,297484,74100,2718555,1930415,892323,808165,3160,172991,400,5426,47950,788140,451765,10710,4998,2118,341,292058,26150,2718555,1930415,892323,808165,3160,172991,400,5426,47950,788140,2718555,1930415,788140,586355,102241,9244,3562,34575,606,19396,5884,1189,864,5927,709,40216,2690,711,1240,8834,18968,166,4953,301,1556,797,11947,4023,1786,10,6128
"213114048006","32100US213114048006","Louisville/Jefferson County metro government (balance); Louisville/Jefferson County","Louisville/Jefferson County metro government (balance); Louisville/Jefferson County, KY-IN Metro Area (part); Kentucky","ky","321","00","ACSSF","0007532",,,,,"21",,,"48006",,,,,,,,,,,"31140",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,617032,617032,431576,144744,1116,16618,329,5779,16870,617032,583689,405969,142945,867,16512,324,1522,15550,33343,25607,1799,249,106,5,4257,1320,617032,583689,405969,142945,867,16512,324,1522,15550,33343,617032,583689,33343,12478,3135,10346,203,3332,58,1481,779,126,341,539,8,2659,361,71,71,1174,260,39,469,0,178,36,1190,358,196,0,636
"241258004000","32100US241258004000","Baltimore city; Baltimore-Columbia-Towson","Baltimore city; Baltimore-Columbia-Towson, MD Metro Area; Maryland","md","321","00","ACSSF","0007765",,,,,"24",,,"04000",,,,,,,,,,,"12580",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,614700,614700,187152,383918,1585,15898,215,10607,15325,614700,583197,169285,380636,1353,15862,194,2219,13648,31503,17867,3282,232,36,21,8388,1677,614700,583197,169285,380636,1353,15862,194,2219,13648,31503,614700,583197,31503,7784,4067,1249,1974,10711,341,2163,2761,61,559,4739,87,4030,251,213,399,876,1064,80,920,119,108,0,1688,374,414,0,900
"251446007000","32100US251446007000","Boston city; Boston-Cambridge-Newton","Boston city; Boston-Cambridge-Newton, MA-NH Metro Area (part); Massachusetts","ma","321","00","ACSSF","0007935",,,,,"25",,,"07000",,,,,,,,,,,"14460",,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,679413,679413,357253,171588,2186,65499,257,47955,34675,679413,545520,302427,154363,1405,64939,225,5973,16188,133893,54826,17225,781,560,32,41982,18487,679413,545520,302427,154363,1405,64939,225,5973,16188,133893,679413,545520,133893,7587,36607,2649,36430,27042,935,5655,4158,313,856,14018,1107,16192,660,151,582,9640,1223,89,2239,46,1477,85,7386,1850,984,116,4436
